sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
수원시,안닭,1913301152,경기도 수원시 팔달구 세지로244번길 3,경기도 수원시 팔달구 인계동 818-39번지 1층,한식,16472,37.2728471,127.0240781
수원시,김호권의 청년어부 수원화서시장점,4335000883,경기도 수원시 팔달구 화양로 27,경기도 수원시 팔달구 화서동 205-4번지 1층 김호권의청년어부,"일식·돈까스,프랜차이즈,픽업",16443,37.2806048,126.9971367
수원시,굽네치킨(원천점),1172801223,,경기도 수원시 영통구 원천동 605번지 더샵광교레이크시티 1층 123호,"치킨,프랜차이즈",16515,37.271523,127.0592434
수원시,굽네치킨(곡반정점),3181202218,경기도 수원시 권선구 동수원로146번길 98,경기도 수원시 권선구 곡반정동 507-8번지 101호,"치킨,프랜차이즈",16667,37.2456723,127.0337203
수원시,고려왕족발,5322101743,경기도 수원시 팔달구 경수대로 567,경기도 수원시 팔달구 인계동 952-20번지 1층,족발·보쌈,16471,37.2766024,127.0299877
수원시,야심찬곱창 인계점,7734900825,경기도 수원시 팔달구 세지로174번길 11,경기도 수원시 팔달구 인계동 987-9번지 1층,"프랜차이즈,픽업",16476,37.2668649,127.0226044
수원시,훈초밥,2357200559,경기도 수원시 장안구 수성로303번길 3,경기도 수원시 장안구 정자동 79-17번지 1층 훈초밥,"일식·돈까스,픽업",16313,37.2915368,127.0052321
수원시,펀비어킹 천천동점,6022094108,경기도 수원시 장안구 만석로19번길 11-7,경기도 수원시 장안구 천천동 528-3번지 대일프라자 205호 펀비어킹,"치킨,프랜차이즈,픽업",16329,37.2954908,126.9834194
수원시,상무초밥 수원인계점,7091002593,경기도 수원시 팔달구 권광로 195,경기도 수원시 팔달구 인계동 1038-4번지 1층 상무초밥수원인계점,"일식·돈까스,프랜차이즈,픽업",16489,37.264949,127.0326654
수원시,예원닭강정 매탄점,6122593213,경기도 수원시 영통구 산남로 65,경기도 수원시 영통구 매탄동 199-61번지 1층 예원닭강정,"치킨,프랜차이즈,픽업",16524,37.2688439,127.0491646
수원시,신전떡볶이(수원영통2호점),1353253459,경기도 수원시 영통구 봉영로 1612,경기도 수원시 영통구 영통동 996-4번지 보보스프라자 125호,"분식,프랜차이즈,픽업",16704,37.2545081,127.0749832
수원시,미스터오징어 회 수원역점,5970400254,경기도 수원시 팔달구 향교로 40,경기도 수원시 팔달구 매산로2가 40-9번지 미스터오징어 ＆ 회 수원역점,일식·돈까스,16456,37.2687679,127.0053022
수원시,리코베이커리,7134700474,경기도 수원시 장안구 정자로42번길 52,"경기도 수원시 장안구 천천동 511번지 비단마을 베스트타운 108,109호",카페,16325,37.2977031,126.9822534
수원시,이디야커피 수원센트럴점,3713600236,경기도 수원시 권선구 세류로 55,경기도 수원시 권선구 세류동 230-62번지 1층,"카페,프랜차이즈",16461,37.2642625,127.0078467
수원시,이디야커피 수원SKV1모터스점,4971601427,경기도 수원시 권선구 평동로79번길 45,경기도 수원시 권선구 평동 179번지 수원 SK V1 motors 104호,"카페,프랜차이즈",16600,37.259899,126.992707
수원시,카페코지 신동점,5394300922,경기도 수원시 영통구 권선로882번길 43-45,경기도 수원시 영통구 신동 926-2번지 카페코지 신동점,카페,16683,37.2479949,127.0421965
수원시,카페다온,6075119224,경기도 수원시 영통구 매영로35번길 10,경기도 수원시 영통구 매탄동 198-96번지 1층,카페,16524,37.2698093,127.0470384
수원시,이디야커피 아주대삼거리점,4761000813,경기도 수원시 영통구 중부대로 264-1,경기도 수원시 영통구 매탄동 153-10번지 이디야커피아주대삼거리점,"카페,프랜차이즈",16531,37.2741897,127.0445871
수원시,올데이버거 파스타,6880400190,경기도 수원시 영통구 광교산로 154-42,경기도 수원시 영통구 이의동 산94-6번지 5층,피자·양식,16227,37.2996025,127.0336809
수원시,향기초밥 참치,3711102022,경기도 수원시 권선구 매실로 3,경기도 수원시 권선구 호매실동 471번지 향기초밥＆참치,일식·돈까스,16399,37.2675112,126.9512526
수원시,돼지게티 호매실점,5471201632,경기도 수원시 권선구 금곡로140번길 95-21,경기도 수원시 권선구 호매실동 1344번지 1층,피자·양식,16387,37.2693863,126.943592
수원시,BHC수원능실점,5081309091,경기도 수원시 권선구 호매실로90번길 116,경기도 수원시 권선구 호매실동 1395-3번지 204호,"치킨,프랜차이즈",16630,37.2601005,126.9627868
수원시,파리바게뜨 곡반정동점,6421201510,경기도 수원시 권선구 곡선로50번길 37-2,경기도 수원시 권선구 곡반정동 576-1번지 한아름빌딩 1층 101호,"카페,프랜차이즈",16671,37.2370092,127.0289822
수원시,고추닭발 권선점,5882701277,경기도 수원시 권선구 권중로76번길 18,경기도 수원시 권선구 권선동 1259-10번지 1층,한식,16556,37.2525407,127.029111
수원시,칠성포차 수원금곡점,4076990883,경기도 수원시 권선구 금곡로196번길 62,"경기도 수원시 권선구 금곡동 1124-1번지 103호,104호",한식,16393,37.2732782,126.9547525
수원시,비다벨로 파스타 스테이크 호매실점,6215300536,경기도 수원시 권선구 금호로15번길 2-3,경기도 수원시 권선구 금곡동 245-34번지 1층 102호,피자·양식,16398,37.2689111,126.9538027
수원시,컴포즈커피 수원터미널점,3331501602,경기도 수원시 권선구 덕영대로1201번길 28,경기도 수원시 권선구 권선동 1191-2번지 금강타운 1층 104호,"카페,프랜차이즈",16584,37.2503707,127.0229341
