sigun_nm,faclt_no,play_si_desc,instl_ymd,instl_plc,publ_prvate_div_nm,inoutdr_div_nm,refine_zipno,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt
안산시,192,요진아파트단지내 관리동옆 제1놀이터,20081007,주택단지,민간,실외,15505,경기도 안산시 상록구 삼리로 24,경기도 안산시 상록구 사동 1553번지 예은유치원,37.3040212436,126.8391189857
안산시,193,요진아파트단지내 102동앞 제2놀이터,20081007,주택단지,민간,실외,15505,경기도 안산시 상록구 삼리로 24,경기도 안산시 상록구 사동 1553번지 예은유치원,37.3040212436,126.8391189857
안산시,571936,꿈의교회 실내놀이터,20191223,종교시설,민간,실내,15506,경기도 안산시 상록구 용신로 131,경기도 안산시 상록구 사동 1554-1번지,37.3037034933,126.8371019639
안산시,26161,시립성안어린이집 놀이터,20081009,어린이집,민간,실외,15577,경기도 안산시 상록구 성안3길 9,경기도 안산시 상록구 사동 1557-2번지,37.3024688018,126.8387489277
안산시,17744,꿈동산어린이공원,20110721,도시공원,공공,실외,15578,,경기도 안산시 상록구 사동 1575번지,37.3026566459,126.8394728883
안산시,530958,석호공원 놀이터,20031231,도시공원,공공,실외,15579,경기도 안산시 상록구 석호공원로 1,경기도 안산시 상록구 사동 1583번지,37.3023445856,126.8439630441
안산시,526022,상록구청어린이집 놀이터(실외),20101201,어린이집,민간,실외,15585,경기도 안산시 상록구 석호로 110,경기도 안산시 상록구 사동 1585번지,37.301330545,126.8464090805
안산시,526020,상록구청어린이집 놀이터(야외),20101201,어린이집,공공,실외,15585,경기도 안산시 상록구 석호로 110,경기도 안산시 상록구 사동 1585번지,37.301330545,126.8464090805
안산시,565187,상록구청어린이집 놀이터(실내),20110104,어린이집,공공,실내,15585,경기도 안산시 상록구 석호로 110,경기도 안산시 상록구 사동 1585번지,37.301330545,126.8464090805
안산시,556747,안산상록경찰서 內 직장어린이집 놀이시설,20160713,어린이집,민간,실외,15585,경기도 안산시 상록구 차돌배기로 10,경기도 안산시 상록구 사동 1586-4번지,37.2997953628,126.8442672677
안산시,572128,안산 하늬울공원 어린이놀이터,20200103,도시공원,공공,실외,15596,경기도 안산시 상록구 해양5로 31,경기도 안산시 상록구 사동 1639-10,37.2820340984,126.832260938
안산시,1003001,착한토끼 키즈카페 키즈룸 안산사동하우스,20240911,놀이제공영업소,민간,실내,15596,경기도 안산시 상록구 해양4로 26,경기도 안산시 상록구 사동 1639-24번지 411호,37.284152346,126.8290722925
안산시,571021,안산그랑시티자이1차 어린이놀이터4(103동 앞),20191007,주택단지,민간,실외,15596,경기도 안산시 상록구 해안로 776,경기도 안산시 상록구 사동 1639-7번지,37.2844007983,126.8315631712
안산시,571022,안산그랑시티자이1차 어린이놀이터5(111동 앞),20191007,주택단지,민간,실외,15596,경기도 안산시 상록구 해안로 776,경기도 안산시 상록구 사동 1639-7번지,37.2844007983,126.8315631712
안산시,571020,안산그랑시티자이1차 어린이놀이터3(101동 앞),20191007,주택단지,민간,실외,15596,경기도 안산시 상록구 해안로 776,경기도 안산시 상록구 사동 1639-7번지,37.2844007983,126.8315631712
안산시,570493,안산그랑시티자이1차 어린이놀이터1(114동앞),20190817,주택단지,민간,실외,15596,경기도 안산시 상록구 해안로 776,경기도 안산시 상록구 사동 1639-7번지,37.2844007983,126.8315631712
안산시,571019,안산그랑시티자이1차 어린이놀이터2(108동 앞),20191007,주택단지,민간,실외,15596,경기도 안산시 상록구 해안로 776,경기도 안산시 상록구 사동 1639-7번지,37.2844007983,126.8315631712
안산시,574393,안산그랑시티자이2차 어린이놀이터1(210동 앞),20200602,주택단지,민간,실외,15596,,경기도 안산시 상록구 사동 1639번지 그랑시티자이2차,37.2794338711,126.8331073633
안산시,574394,안산그랑시티자이2차 어린이놀이터2(202동 앞),20200602,주택단지,민간,실외,15596,,경기도 안산시 상록구 사동 1639번지 그랑시티자이2차,37.2794338711,126.8331073633
안산시,574395,안산그랑시티자이2차 어린이놀이터3(204동 앞),20200602,주택단지,민간,실외,15596,,경기도 안산시 상록구 사동 1639번지 그랑시티자이2차,37.2794338711,126.8331073633
안산시,574396,안산그랑시티자이2차 유아놀이터(어린이놀이터1 옆),20200602,주택단지,민간,실외,15596,,경기도 안산시 상록구 사동 1639번지 그랑시티자이2차,37.2794338711,126.8331073633
안산시,32707,사사동 현대아파트103동[해오름놀이터],20090630,주택단지,민간,실외,15524,,경기도 안산시 상록구 사사동 413번지 현대아파트,37.2956986556,126.9175158967
안산시,32708,사사동 현대아파트102동[꿈동산놀이터],20090630,주택단지,민간,실외,15524,,경기도 안산시 상록구 사사동 413번지 현대아파트,37.2956986556,126.9175158967
안산시,558526,성포공원 놀이터,20161217,도시공원,공공,실외,15296,경기도 안산시 상록구 성포로 6,경기도 안산시 상록구 성포동 582번지,37.3222835673,126.8424633498
안산시,560627,"예술인아파트 8,9동간 놀이시설",20170707,주택단지,민간,실외,15296,,경기도 안산시 상록구 성포동 583번지 예술인아파트,37.3215433586,126.8438526242
안산시,560628,"예술인아파트 1,12동간 놀이시설",20170707,주택단지,민간,실외,15296,,경기도 안산시 상록구 성포동 583번지 예술인아파트,37.3215433586,126.8438526242
안산시,546018,성포주공10단지 관리동앞 놀이터,20140701,주택단지,민간,실외,15295,,경기도 안산시 상록구 성포동 584번지 주공10단지아파트,37.3224194744,126.8474341508
안산시,546017,성포주공10단지 1013동앞 놀이터,20140701,주택단지,민간,실외,15295,,경기도 안산시 상록구 성포동 584번지 주공10단지아파트,37.3224194744,126.8474341508
안산시,546019,성포주공10단지 1009동앞 놀이터,20140701,주택단지,민간,실외,15295,,경기도 안산시 상록구 성포동 584번지 주공10단지아파트,37.3224194744,126.8474341508
안산시,17947,성포주공10단지 1006동앞 놀이터,19870430,주택단지,민간,실외,15295,,경기도 안산시 상록구 성포동 584번지 주공아파트,37.3224194744,126.8474341508
안산시,36046,신우연립 [꿈나무놀이터],20090729,주택단지,민간,실외,15294,,경기도 안산시 상록구 성포동 585-4번지 신우빌라,37.3186773599,126.8504573112
안산시,17970,안산성포주공4단지(401동앞),19860825,주택단지,민간,실외,15297,,경기도 안산시 상록구 성포동 588번지 주공아파트,37.3190617453,126.8433437511
안산시,17971,안산성포주공4단지(407동앞),20120101,주택단지,민간,실외,15297,,경기도 안산시 상록구 성포동 588번지 주공아파트,37.3190617453,126.8433437511
안산시,582398,해남식당 안산지점 실내놀이시설,20220420,식품접객업소,민간,실내,15299,경기도 안산시 상록구 항가울로 422,경기도 안산시 상록구 성포동 590번지,37.3180439496,126.8467383942
안산시,17803,성포주공11단지 관리동 뒤(1108동1110동사이),19941118,주택단지,민간,실외,15292,,경기도 안산시 상록구 성포동 591번지 주공11단지아파트,37.325753542,126.8472472992
안산시,17807,성포주공11단지 1132동~1133동사이,19950628,주택단지,민간,실외,15292,,경기도 안산시 상록구 성포동 591번지 주공11단지아파트,37.325753542,126.8472472992
안산시,17805,성포주공11단지 1118동 옆,19941118,주택단지,민간,실외,15292,,경기도 안산시 상록구 성포동 591번지 주공11단지아파트,37.325753542,126.8472472992
안산시,17804,성포주공11단지 1103동~1104동사이,19950628,주택단지,민간,실외,15292,,경기도 안산시 상록구 성포동 591번지 주공11단지아파트,37.325753542,126.8472472992
안산시,17806,성포주공11단지 1125동~1128동사이,19941118,주택단지,민간,실외,15292,,경기도 안산시 상록구 성포동 591번지 주공아파트,37.325753542,126.8472472992
