기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
주택단지,놀이체험시설,시화주공4단지 제2어린이놀이터,경기도 시흥시 정왕동 1843번지 주공4단지아파트,126.7346060307,37.3509658442,,경기데이터드림
주택단지,놀이체험시설,시화주공4단지 제3어린이놀이터,경기도 시흥시 정왕동 1843번지 주공4단지아파트,126.7346060307,37.3509658442,,경기데이터드림
주택단지,놀이체험시설,시화주공4단지 제1어린이놀이터,경기도 시흥시 정왕동 1843번지 주공4단지아파트,126.7346060307,37.3509658442,,경기데이터드림
주택단지,놀이체험시설,시화주공4단지 제4어린이놀이터,경기도 시흥시 정왕동 1843번지 주공4단지아파트,126.7346060307,37.3509658442,,경기데이터드림
주택단지,놀이체험시설,실외놀이터(시화주공5단지 507동),경기도 시흥시 정왕동 1844번지 주공5단지아파트,126.73327892,37.3493438009,,경기데이터드림
주택단지,놀이체험시설,실외놀이터(시화주공5단지 511동),경기도 시흥시 정왕동 1844번지 주공5단지아파트,126.73327892,37.3493438009,,경기데이터드림
주택단지,놀이체험시설,시화주공5단지 509동 어린이놀이터,경기도 시흥시 정왕동 1844번지 주공5단지아파트,126.73327892,37.3493438009,,경기데이터드림
주택단지,놀이체험시설,실외놀이터(시화주공5단지 516동),경기도 시흥시 정왕동 1844번지 주공5단지아파트,126.73327892,37.3493438009,,경기데이터드림
주택단지,놀이체험시설,계룡1차아파트 112놀이터,경기도 시흥시 정왕동 1846번지 계룡1차아파트,126.7312404386,37.347735149,,경기데이터드림
주택단지,놀이체험시설,계룡1차아파트 106동놀이터,경기도 시흥시 정왕동 1846번지 계룡1차아파트,126.7312404386,37.347735149,,경기데이터드림
주택단지,놀이체험시설,계룡1차아파트 관리동놀이터,경기도 시흥시 정왕동 1846번지 계룡1차아파트,126.7312404386,37.347735149,,경기데이터드림
주택단지,놀이체험시설,(108동)시화청솔아파트,경기도 시흥시 정왕동 1847번지 청솔아파트,126.7294181592,37.3470743073,,경기데이터드림
주택단지,놀이체험시설,(107동)시화청솔아파트,경기도 시흥시 정왕동 1847번지 청솔아파트,126.7294181592,37.3470743073,,경기데이터드림
주택단지,놀이체험시설,(112동)시화청솔아파트,경기도 시흥시 정왕동 1847번지 청솔아파트,126.7294181592,37.3470743073,,경기데이터드림
주택단지,놀이체험시설,시화진로아파트 어린이 놀이터(관리동옆),경기도 시흥시 정왕동 1848-4번지 진로아파트,126.7278666092,37.3475419153,,경기데이터드림
어린이집,놀이체험시설,정왕2동시립어린이집 놀이터,경기도 시흥시 정왕대로 122,126.7289486021,37.3510372668,,경기데이터드림
주택단지,놀이체험시설,세종3차아파트 어린이놀이터(관리동앞),경기도 시흥시 정왕동 1849-6번지 세종3차아파트,126.7286241943,37.3496380317,,경기데이터드림
주택단지,놀이체험시설,요진아파트(111동옆 놀이터),경기도 시흥시 정왕동 1850번지 요진아파트,126.7273279131,37.3505309393,,경기데이터드림
주택단지,놀이체험시설,요진아파트(121동옆 놀이터),경기도 시흥시 정왕동 1850번지 요진아파트,126.7273279131,37.3505309393,,경기데이터드림
주택단지,놀이체험시설,요진아파트(관리동 옆 놀이터),경기도 시흥시 정왕동 1850번지 요진아파트,126.7273279131,37.3505309393,,경기데이터드림
주택단지,놀이체험시설,대림2단지 아파트 3놀이터,경기도 시흥시 정왕동 1851번지 대림2차아파트,126.7257574941,37.350628835,,경기데이터드림
주택단지,놀이체험시설,대림2단지아파트4놀이터,경기도 시흥시 정왕동 1851번지 대림2차아파트,126.7259338773,37.34994495,,경기데이터드림
주택단지,놀이체험시설,대림2단지아파트2놀이터,경기도 시흥시 정왕동 1851번지 대림2차아파트,126.7259338773,37.34994495,,경기데이터드림
주택단지,놀이체험시설,대림2차아파트1놀이터,경기도 시흥시 정왕동 1851번지 대림2차아파트,126.7259338773,37.34994495,,경기데이터드림
식품접객업소,놀이체험시설,늘봄가 실내놀이시설,경기도 시흥시 옥구상가4길 7,126.7220149254,37.3511451001,,경기데이터드림
식품접객업소,놀이체험시설,뜨끈이감자탕,경기도 시흥시 중심상가로 40,126.722655344,37.3525464296,,경기데이터드림
주택단지,놀이체험시설,시화동남아파트 110동 어린이놀이터,경기도 시흥시 정왕동 1862번지 동남아파트,126.720291398,37.3540361537,,경기데이터드림
주택단지,놀이체험시설,시화동남아파트 관리동 어린이놀이터,경기도 시흥시 정왕동 1862번지 동남아파트,126.720291398,37.3540361537,,경기데이터드림
주택단지,놀이체험시설,시화대림1단지 관리소앞놀이터,경기도 시흥시 정왕동 1863번지 대림1차아파트,126.7205885063,37.3547862461,,경기데이터드림
주택단지,놀이체험시설,시화대림1단지 6303동 놀이터,경기도 시흥시 정왕동 1863번지 대림1차아파트,126.7205885063,37.3547862461,,경기데이터드림
주택단지,놀이체험시설,시화대림1단지아파트(6309동) 놀이터,경기도 시흥시 정왕동 1863번지 대림1차아파트,126.7205885063,37.3547862461,,경기데이터드림
