정류장아이디,정류장명,Y좌표,X좌표,GPSX좌표,GPSY좌표,링크아이디,정류장유형,환승정류장유무,중앙차로여부,정류장영문명,ARS아이디,기관코드,데이터표출유무,등록아이디,등록일자,비고,표지판유형,행정동코드,권역코드,사용구분,정류장중국어명,정류장일본어명,정류장베트남명,DRT유무,정류장유형명,환승역타입명,표지판유형명
231000822,견내,224090.8556500000,395129.9527100000,,,2310080700,1000,N,N,Gyeonnae,33529,4155000000,Y,ckdejr12 ,2014-04-11 00:00:00.0,,0,4155035000,231,Y,？奈,キョンネ,Gyeonnae,N,시내,일반,표지판 없음
231000823,견내,224087.7150400000,395144.7320300000,,,2310146900,1000,N,N,Gyeonnae,33528,4155000000,Y,ckdejr12 ,2014-04-11 00:00:00.0,,2,4155035000,231,Y,？奈,キョンネ,Gyeonnae,N,시내,일반,쉘터
230000320,덕계동,236820.2658300000,423084.8642500000,3718.5413000000,12724.9600000000,2300044100,1000,N,N,Deokgye-dong,32788,4150000000,Y,smchoi,2021-05-20 00:00:00.0,,1,4150031000,230,Y,德溪洞,トッケ洞,Ph？？ng Deokgye-dong,N,시내,일반,표지판 있음
230000321,명지빌라,237214.6576400000,421648.5620700000,,,2300149300,1000,N,N,Myeongji Villa,32787,4150000000,Y,ckdejr12 ,2014-07-21 00:00:00.0,,1,4150053000,230,Y,明知？元？,ミョンジヴィラ,Khu nha ？ Myeongji Villa,N,시내,일반,표지판 있음
230000323,향림빌라,237813.0000000000,422383.0000000000,,,2300046200,0000,N,N,Hyanglim Villa,32403,4150000000,Y,ckdejr12 ,2014-09-30 00:00:00.0,,1,4150053000,230,Y,香林？元？,ヒャンリムヴィラ,Khu nha ？ Hyanglim Villa,N,미지정,일반,표지판 있음
230000324,한국도요,235706.3243500000,422366.2519200000,3718.1554000000,12724.2100000000,2300169200,1000,N,N,Hanguk Doyo,32785,4150000000,Y,smchoi,2021-05-20 00:00:00.0,,0,4150031000,230,Y,？？陶？,韓？陶窯(トヨ),đ？ g？m Han Qu？c,N,시내,일반,표지판 없음
230000326,마교리,234416.2136800000,422310.2268300000,,,2300169300,1000,N,N,Magyo-ri,32695,4150000000,Y,ckdejr12 ,2014-09-30 00:00:00.0,,1,4150031000,230,Y,？？里,マギョリ,Magyo-ri,N,시내,일반,표지판 있음
230000327,마교리,234414.0000000000,422299.0000000000,,,2300113600,1000,N,N,Magyo-ri,32694,4150000000,Y,ckdejr12 ,2014-09-30 00:00:00.0,,2,4150031000,230,Y,？？里,マギョリ,Magyo-ri,N,시내,일반,쉘터
230000329,소정리,235111.7693300000,422304.2345300000,,,2300113600,1000,N,N,Sojeong-ri,32783,4150000000,Y,ckdejr12 ,2014-09-30 00:00:00.0,,1,4150031000,230,Y,小亭里,ソジョンリ,Songjeong-ri ,N,시내,일반,표지판 있음
230000330,빌라앞,234730.5335800000,422482.5118200000,,,2300169300,1000,N,N,Villa,32782,4150000000,Y,ckdejr12 ,2014-09-30 00:00:00.0,,1,4150031000,230,Y,？元？前,ヴィラ前,Tr？？c Villa,N,시내,일반,표지판 있음
230000334,용면리입구,233634.0190300000,422215.0936900000,3718.0783000000,12722.8000000000,2300169500,1000,N,N,Yongmyeon-ri,32780,4150000000,Y,smchoi,2021-08-12 00:00:00.0,,0,4150031000,230,Y,？眠里入口,ヨンミョンリ入口,L？i vao Yongmyeon-ri,N,시내,일반,표지판 없음
230001531,율현사거리,239458.9330600000,418531.5247100000,,,2300075300,1000,N,N,Yulhyeon Sageori,51294,4150000000,Y,ckdejr12 ,2016-02-23 00:00:00.0,,2,4150052000,230,Y,栗？十字路口,ユルヒョンサゴリ(十字路),Nga ba Yulhyeon,N,시내,일반,쉘터
230001533,특수전사령부,232696.0454100000,417907.2940400000,,,2300179900,1000,N,N,ROK Special Warfare Command,51296,4150000000,Y,ckdejr12 ,2016-02-23 00:00:00.0,,0,4150034000,230,Y,特殊？司令部,特殊？司令部,B？ t？ l？nh đ？c nhi？m,N,시내,일반,표지판 없음
230001535,아름수리아파트,231285.9172600000,417267.3333700000,,,2300180200,1000,N,N,Areumsuri Apartment ,51278,4150000000,Y,,2019-02-26 00:00:00.0,,2,4150034000,230,Y,雅林秀？公寓,アルムスリアパ？ト,Chung c？ Areumsuri,N,시내,일반,쉘터
230001536,아리사거리,239298.5377700000,421420.5437900000,3717.6355000000,12726.6300000000,2300070100,1000,N,N,Ari Sageori,32391,4150000000,Y,smchoi,2021-08-12 00:00:00.0,,1,4150051500,230,Y,阿里十字路口,アリサゴリ(十字路),Nga t？ Ari,N,시내,일반,표지판 있음
230000608,아미리,243842.9614600000,417612.4068900000,3715.5647000000,12729.6900000000,2300152100,1000,N,N,Ami-ri,32578,4150000000,Y,smchoi,2021-06-11 00:00:00.0,,2,4150025300,230,Y,牙美里,アミリ,Ami-ri ,N,시내,일반,쉘터
230000609,[폐지]현대7차아파트,243523.2815500000,417325.4420300000,12729.4820000000,3715.4100000000,2300027600,0000,C,N,Hyundai Apartment 7-cha,32770,4150000000,Y,smchoi,2021-09-06 00:00:00.0,,1,4150025300,230,Y,？代7期公寓,ヒュンダイ7次アパ？ト,Chung c？ Hyundai s？ 7,N,미지정,환승,표지판 있음
230000611,현대5.6차아파트,244055.9814300000,416361.0514000000,,,2300186100,1000,N,N,Hyundai Apartment 5 & 6-cha,32322,4150000000,Y,ckdejr12 ,2014-11-10 00:00:00.0,,2,4150035000,230,Y,？代5、6期公寓,ヒュンダイ５，６次アパ？ト,Chung c？ Hyundai s？ 5.6,N,시내,일반,쉘터
230000614,오성2리,249121.0000000000,396483.0000000000,12733.1860000000,3704.1260000000,2300121600,1000,N,N,Oseong 1-ri,32576,4150000000,Y,smchoi,2021-08-13 00:00:00.0,,0,4150038000,230,Y,五城1里,オソン1リ,Oseong-ri 1,N,시내,일반,표지판 없음
230000618,본죽입구,247833.0000000000,397623.0000000000,,,2300010600,1000,N,N,Bonjuk,32321,4150000000,Y,ckdejr12 ,2014-11-10 00:00:00.0,,1,4150038000,230,Y,本竹入口,ポンジュク入口,L？i vao Bonjuk,N,시내,일반,표지판 있음
230000619,본죽입구,247853.0000000000,397623.0000000000,,,2300093000,1000,N,N,Bonjuk,32768,4150000000,Y,ckdejr12 ,2014-11-10 00:00:00.0,,0,4150038000,230,Y,本竹入口,ポンジュク入口,L？i vao Bonjuk,N,시내,일반,표지판 없음
230000620,관2리,231086.0000000000,419525.0000000000,,,2300094300,1000,N,N,Gwan 2-ri,32683,4150000000,Y,ckdejr12 ,2014-11-10 00:00:00.0,,2,4150034000,230,Y,冠2里,クァン2リ,Gwan-ri 2,N,시내,일반,쉘터
230000621,관2리,231101.0000000000,419540.0000000000,,,2340019900,1000,N,N,Gwan 2-ri,32575,4150000000,Y,ckdejr12 ,2014-11-10 00:00:00.0,,2,4150034000,230,Y,冠2里,クァン2リ,Gwan-ri 2,N,시내,일반,쉘터
230000622,[미지정]가마골입구,231213.1643500000,419321.2671200000,12721.1610000000,3716.5180000000,2280114600,0000,N,N,Gamigol,32767,4150000000,Y,smchoi,2021-12-16 00:00:00.0,,0,4150034000,230,Y,伽？谷[？谷]入口,カマコル入口,L？i vao Gamagol,N,미지정,일반,표지판 없음
230000625,관3리,231241.6027600000,419125.4713800000,,,2300008900,1000,N,N,Gwan 3-ri,32765,4150000000,Y,ckdejr12 ,2014-11-10 00:00:00.0,,0,4150034000,230,Y,冠3里,クァン3リ,GWan-ri 3,N,시내,일반,표지판 없음
230000626,관3리,231254.7020500000,419175.7178900000,,,2300094700,1000,N,N,Gwan 3-ri,32766,4150000000,Y,ckdejr12 ,2014-11-10 00:00:00.0,,2,4150034000,230,Y,冠3里,クァン3リ,GWan-ri 3,N,시내,일반,쉘터
229000632,영태1리,181259.0000000000,475565.0000000000,,,2290203300,1100,N,N,Yeongtae 1-ri,31158,4148000000,Y,ckdejr12 ,2015-03-06 00:00:00.0,,2,4148031000,229,Y,英太1里,ヨンテ1リ,Yeongtae-ri 1,N,"시내,마을",일반,쉘터
229000634,월롱역,181580.2276300000,477114.5347700000,3747.7812000000,12647.4900000000,2290181700,1111,N,N,Wollong Station,31171,4148000000,Y,smchoi,2022-01-10 00:00:00.0,,2,4148031000,229,Y,月？站,ウォルロン？,Ga Wollong,N,"시내,마을,시외,공항",일반,쉘터
229000635,월롱교,181732.2263700000,477714.0334600000,,,2290247500,1000,N,N,Wollonggyo Bridge,30370,4148000000,Y,,2017-10-31 00:00:00.0,,2,4148025300,229,Y,月？？,ウォルロン橋,C？u Wollong gyo,N,시내,일반,쉘터
229000637,덕은4리,178652.6169800000,479455.0954400000,3749.0425000000,12645.4900000000,2290163500,1100,N,N,Deogeun 4-ri,31135,4148000000,Y,smchoi,2023-08-07 00:00:00.0,,2,4148031000,229,Y,德？4里,トグン4リ,Deogeun-ri 4,N,"시내,마을",일반,쉘터
229000638,덕은4리.우리식당,178981.7551900000,479239.0681300000,3748.9262000000,12645.7200000000,2290084900,1100,N,N,Deogeun 4-ri / Woori Restaurant,31138,4148000000,Y,smchoi,2021-04-13 00:00:00.0,,2,4148031000,229,Y,德？4里、友利餐？,トグン4リ、ウリ食堂,Deogeun-ri 4. Nha hang Woori,N,"시내,마을",일반,쉘터
229000641,덕은5리,180673.9522300000,478658.5551900000,,,2290077500,1100,N,N,Deogeun 5-ri ,31150,4148000000,Y,ckdejr12 ,2015-01-27 00:00:00.0,,2,4148031000,229,Y,德？5里,トグン5リ,Deogeun-ri 5,N,"시내,마을",일반,쉘터
