sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
시흥시,광명대창집 배곧점,6761001519,경기도 시흥시 서울대학로278번길 8,"경기도 시흥시 배곧동 214번지 1층 114,115호",한식,15011,37.3696799,126.7265668
시흥시,생고기랜드,6011132257,경기도 시흥시 배곧4로 32-13,경기도 시흥시 배곧동 126번지 2층 207호,한식,15010,37.3769561,126.7268874
시흥시,마약 떡볶이랑 불오뎅 월곶본점,1192043956,경기도 시흥시 월곶중앙로 64,경기도 시흥시 월곶동 1009-1번지 풍산프라자 1층 102호,"분식,프랜차이즈,픽업",14966,37.3891728,126.7385104
시흥시,미제마라탕 배곧점 [다회용기],6885600660,경기도 시흥시 서울대학로278번길 19-8,경기도 시흥시 배곧동 193-2번지 새롬프라자 104호,"다회용기,중식,프랜차이즈,픽업",15011,37.3698358,126.7283496
시흥시,카페버찌와모모,8810802854,경기도 시흥시 서울대학로278번길 61,경기도 시흥시 배곧동 204번지 씨-2호,"카페,프랜차이즈,픽업",15011,37.3681926,126.7306929
시흥시,오키나와신,3478803388,경기도 시흥시 거북섬북로 54,경기도 시흥시 정왕동 2684번지 아쿠아펫랜드 B동 117호,"일식·돈까스,픽업",15119,37.3292931,126.6789187
시흥시,토마토김밥시흥거북섬점 [다회용기],6750502700,경기도 시흥시 거북섬남로 77,경기도 시흥시 정왕동 2732번지 호반써밋더프라임 121동 지1층 B116호,"다회용기,분식,프랜차이즈,픽업",15119,37.3218652,126.6906019
시흥시,과일담은요거트맛집 요맛 거북섬점,6591901365,경기도 시흥시 거북섬2길 5,경기도 시흥시 정왕동 2703-6번지 시흥시MTV프라자 104호,"카페,프랜차이즈,픽업",15119,37.325535,126.6777067
시흥시,처갓집양념치킨 목감점,1265200937,경기도 시흥시 목감중앙로 20,경기도 시흥시 조남동 662번지 시흥목감엘에이치7단지 상가동 102호,"치킨,프랜차이즈,픽업",14988,37.3764694,126.8530088
시흥시,춘리마라탕 배곧점,7560902633,경기도 시흥시 배곧3로 96,경기도 시흥시 배곧동 199-1번지 208-1호,"중식,프랜차이즈,픽업",15011,37.3697764,126.7302927
시흥시,과일담은요거트맛집 요맛 배곧점,5143901100,경기도 시흥시 서울대학로278번길 19-13,경기도 시흥시 배곧동 191번지 시흥배곧C1호반써밋플레이스 107동 A-134호,"카페,프랜차이즈,픽업",15011,37.3703857,126.7269775
시흥시,치킨플러스 시흥거북섬점,6361901585,경기도 시흥시 거북섬중앙로 1,경기도 시흥시 정왕동 2709번지 시화MTV보니타가 3동 113호,"치킨,프랜차이즈,픽업",15119,37.3255247,126.6827295
시흥시,대식가,7200302836,경기도 시흥시 거북섬남로 47,경기도 시흥시 정왕동 2713-5번지 301호,"픽업,한식",15119,37.3225733,126.6874002
시흥시,설빙거북섬점,7858801826,경기도 시흥시 거북섬둘레길 22,경기도 시흥시 정왕동 2718-4번지 설빙거북섬점204호205호,"카페,프랜차이즈,픽업",15119,37.3247982,126.678042
시흥시,칼리가리 박사의 밀실 거북섬점,8471701065,경기도 시흥시 거북섬4길 2,경기도 시흥시 정왕동 2720번지 퍼스트프라자 103호,"프랜차이즈,피자·양식,픽업",15119,37.3236271,126.682039
시흥시,피자덕 거북섬점,8590103008,경기도 시흥시 거북섬로 135,경기도 시흥시 정왕동 2725번지 시흥웨이브파크푸르지오시티 115호,"프랜차이즈,피자·양식,픽업",15119,37.3208699,126.6808838
시흥시,삼겹미학,1953901189,경기도 시흥시 거북섬중앙로 1,경기도 시흥시 정왕동 2709번지 시화MTV보니타가 4동 119호,한식,15119,37.3255247,126.6827295
시흥시,5일장햄버거 거북섬점,2931201550,경기도 시흥시 거북섬4길 14,경기도 시흥시 정왕동 2720-3번지 1층 116호,"프랜차이즈,피자·양식",15119,37.3227218,126.6827824
시흥시,혼밥대왕 시흥시청점,4761102332,경기도 시흥시 진말로9번길 18-7,경기도 시흥시 장곡동 813-3번지 1층 102호,"프랜차이즈,한식",15002,37.3788993,126.7835459
시흥시,대박수산,1049153108,경기도 시흥시 거북섬1길 18,경기도 시흥시 정왕동 2703-13번지 마리프라자II 112호,"일식·돈까스,프랜차이즈,픽업",15119,37.3266983,126.6764863
시흥시,구도가맥,5741802159,경기도 시흥시 거북섬남로 77,경기도 시흥시 정왕동 2732번지 호반써밋더프라임 121동 B-102호,"분식,프랜차이즈,픽업",15119,37.32156,126.6894766
시흥시,돈카츠마�정왕배곧점,1063653537,경기도 시흥시 정왕신길로49번길 28,경기도 시흥시 정왕동 1875-2번지 미주아파트 상가동 102호,"일식·돈까스,프랜차이즈",15028,37.3601278,126.7283022
시흥시,라라코스트 시흥배곧점,6021452688,경기도 시흥시 서울대학로278번길 61,경기도 시흥시 배곧동 204번지 서영베니스스퀘어 A동 313호,"프랜차이즈,피자·양식",15011,37.3681926,126.7306929
시흥시,피자헛(시화본점),5691802439,경기도 시흥시 마유로 330,경기도 시흥시 정왕동 1735-4번지 대하빌딩 104호,"프랜차이즈,피자·양식,픽업",15066,37.3455266,126.7353838
시흥시,아라치 거북섬점,6111205017,경기도 시흥시 거북섬남로 45,경기도 시흥시 정왕동 2712번지 호반써밋더퍼스트오션 근린생활시설동 1층 104호,"치킨,프랜차이즈",15119,37.3243516,126.6864669
시흥시,돈통마늘보쌈 시흥거북섬점,4208101217,경기도 시흥시 거북섬1길 4,경기도 시흥시 정왕동 2703-8번지 제일타운 1층 110호,"족발·보쌈,프랜차이즈",15119,37.3254318,126.6771322
시흥시,크리밋,7270402760,경기도 시흥시 거북섬2길 25,"경기도 시흥시 정왕동 2703번지 111,112호","카페,픽업",15119,37.3273135,126.6768182
시흥시,한뚝 수육국밥 거북섬점,3343001592,경기도 시흥시 거북섬로 211,"경기도 시흥시 정왕동 2713-3번지 304,305호","프랜차이즈,픽업,한식",15119,37.3229094,126.6877691
시흥시,가나돈카츠,2736900416,경기도 시흥시 거북섬중앙로 1,경기도 시흥시 정왕동 2709번지 시화MTV보니타가 2동 2층 244호,"일식·돈까스,프랜차이즈",15119,37.3255247,126.6827295
시흥시,무청감자탕 거북섬점,8770102609,경기도 시흥시 거북섬로 219,경기도 시흥시 정왕동 2713번지 제1동 2층 204호,"찜·탕,프랜차이즈",15119,37.3235081,126.688327
시흥시,라미방 마라탕 정왕점,3071721151,경기도 시흥시 중심상가로 161,경기도 시흥시 정왕동 1728-20번지 그라미아빌딩 1층 102호,"중식,프랜차이즈",15036,37.3460759,126.7339105
시흥시,피자나라치킨공주 시흥은행점,1111864430,,경기도 시흥시 은행동 644번지 시흥은계호반써밋플레이스 1층 121호,"프랜차이즈,피자·양식,픽업",14922,37.4351025,126.8037071
시흥시,거북섬어쩌다맛집,3245800566,경기도 시흥시 거북섬둘레길 5-7,경기도 시흥시 정왕동 2706-11번지 거북섬타워 2층 212호,"프랜차이즈,한식",15119,37.325465,126.6754275
시흥시,디저트39 시흥거북섬점,1451801461,경기도 시흥시 거북섬2길 5,경기도 시흥시 정왕동 2703-6번지 시흥시MTV프라자 1층 102호,"카페,프랜차이즈",15119,37.325535,126.6777067
